game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Untold Legends: The Warrior's Code,364,3.47,155,Just Right,69,28.7,38,84,47,PSP
Valhalla Knights,595,3.24,233,Just Right-Tough,42.74,58,46,75,27,PSP
Valhalla Knights 2,418,3.52,198,Tough,56,51.2,18,39,16,PSP
Valhalla Knights 2: Battle Stance,134,3.57,61,Just Right-Tough,NA,56.5,11,16,24,PSP
Valkyrie Profile: Lenneth,2078,4.17,953,Just Right-Tough,59,49.6,299,580,NA,PSP
Vantage Master Portable,21,3.65,10,Just Right,NA,10,2,3,38,PSP
Viorate no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,19,3.18,11,Just Right-Tough,66.67,35,4,4,44,PSP
Wizardry Empire III,12,2.88,4,Tough,33.33,20,1,2,50,PSP
World Neverland 2-in-1 Portable,13,3.71,7,Just Right,33.33,75,2,2,NA,PSP
X-Men Legends II: Rise of Apocalypse,286,3.84,121,Just Right,81.48,24.9,41,95,65,PSP
Ys Seven,1320,4.2,682,Just Right,75,35.3,272,437,NA,PSP
Ys: The Oath in Felghana,888,4.1,415,Just Right-Tough,54.75,23.6,184,308,68,PSP
Ys: The Ark of Napishtim,552,3.66,216,Just Right,68.91,28.8,72,133,52,PSP
Yuusha 30 Second,32,3.93,22,Just Right-Tough,61.54,40.3,8,11,61,PSP
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,667,4.1,368,Just Right-Tough,56.25,49.5,93,157,39,PSP
Zill O'll Infinite Plus,22,3,12,Just Right-Tough,44.44,16.7,6,6,55,PSP
Zwei!!,23,3.71,12,Just Right,NA,46.7,3,3,33,PSP
7th Dragon,144,3.84,87,Tough,68.52,54.7,30,37,43,DS
Castlevania: Portrait of Ruin,4210,3.89,2276,Just Right,69.89,26.8,833,1868,76,DS
Castlevania: Dawn of Sorrow,4711,4.01,2601,Just Right,71.61,26.4,984,2216,79,DS
Castlevania: Order of Ecclesia,4285,3.99,2485,Just Right-Tough,55.23,28,810,1707,64,DS
